id,en,ar
t001,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t002,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t003,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t004,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t005,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t006,Can I exchange a laptop for a different model?,هل يمكنني استبدال اللابتوب بموديل آخر؟
t007,What is the return window for furniture?,ما هي مدة إرجاع الأثاث؟
t008,Do you charge for delivering large furniture?,هل هناك رسوم لتوصيل الأثاث الكبير؟
t009,What is the warranty on kitchenware?,ما هو الضمان على أدوات المطبخ؟
t010,Is there a restocking fee for home goods?,هل توجد رسوم إعادة تخزين لمستلزمات المنزل؟
t011,How long do I have to return clothing?,كم المدة المسموحة لإرجاع الملابس؟
t012,Do the tags need to stay on for a clothing return?,هل يجب إبقاء البطاقة على الملابس عند الإرجاع؟
t013,What is the shipping fee for shoes under SAR 200?,كم رسوم الشحن للأحذية أقل من 200 ريال؟
t014,Is there a warranty on clothing?,هل يوجد ضمان على الملابس؟
t015,How do refunds work — do I get my money back or store credit?,كيف تتم عملية الاسترداد — أستلم المبلغ أم رصيد متجر؟
t016,How long does a refund take to reach my card?,كم يستغرق وصول المبلغ المسترد لبطاقتي؟
t017,Can I drop off a return at any store?,هل يمكنني تسليم المرتجع في أي فرع؟
t018,Which cities have a Baseeta store?,في أي مدن يوجد فرع لبسيطة؟
t019,How does an exchange work — do I get the replacement first?,كيف يعمل الاستبدال — هل أستلم البديل أولاً؟
t020,Can a courier pick up my return instead of me visiting a store?,هل يمكن لشركة الشحن استلام المرتجع بدلاً من زيارة الفرع؟
t021,What is the status of my order ORD-1000003?,ما حالة طلبي ORD-1000003؟
t022,Can you check order ORD-1000001 for me?,هل يمكنك الاستعلام عن طلب ORD-1000001؟
t023,Where has my order ORD-1000002 got to?,وين وصل طلبي ORD-1000002؟
t024,"I want to return a laptop, order ORD-1000001, it arrived damaged",أبغى أرجع لابتوب، الطلب ORD-1000001، وصل تالف
t025,I need to exchange a jacket from order ORD-1000004 for a bigger size,أبغى أستبدل جاكيت من الطلب ORD-1000004 بمقاس أكبر
t026,Please book a return drop-off in Jeddah for order ORD-1000002,من فضلك احجز موعد تسليم مرتجع في جدة لطلب ORD-1000002
t027,"I want a refund for order ORD-1000003, the item does not match the photo",أبغى استرداد لطلب ORD-1000003، المنتج لا يطابق الصورة
t028,Check the status of ORD-1000004,استعلم عن حالة ORD-1000004
t029,I want to speak to a human agent please,أريد التحدث إلى موظف من فضلك
t030,This is a complaint and I want it escalated,هذه شكوى وأريد رفعها لمسؤول
t031,"Nobody has answered me for two weeks, put me through to a person",لم يرد علي أحد منذ أسبوعين، حوّلني لموظف
t032,"Your answers are not helping, get me a representative",إجاباتك لا تفيدني، أريد ممثل خدمة عملاء
t033,Baseeta stores are open from ten in the morning until eleven at night.,فروع بسيطة مفتوحة من العاشرة صباحاً حتى الحادية عشرة مساءً.
t034,Please bring the order confirmation and the item in its original packaging.,يرجى إحضار تأكيد الطلب والمنتج بتغليفه الأصلي.
t035,Your return has been approved and the refund is on its way.,تمت الموافقة على مرتجعك والمبلغ المسترد في الطريق.
t036,The exchange ships once the original item is scanned at the courier.,يُشحن البديل بمجرد مسح المنتج الأصلي لدى شركة الشحن.
t037,You can track your order from your account without visiting a store.,يمكنك تتبع طلبك من حسابك دون زيارة الفرع.
t038,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t039,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t040,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t041,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t042,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t043,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t044,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t045,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t046,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t047,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t048,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t049,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t050,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t051,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t052,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t053,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t054,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t055,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t056,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t057,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t058,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t059,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t060,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t061,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t062,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t063,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t064,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t065,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t066,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t067,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t068,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t069,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t070,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t071,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t072,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t073,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t074,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t075,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t076,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t077,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t078,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t079,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t080,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t081,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t082,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t083,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t084,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t085,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t086,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t087,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t088,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t089,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t090,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t091,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t092,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t093,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t094,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t095,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
t096,What is your return policy for electronics?,ما هي سياسة الإرجاع للإلكترونيات؟
t097,How many days do I have to return a laptop?,كم يوم لدي لإرجاع اللابتوب؟
t098,Is there a restocking fee if I open the box?,هل توجد رسوم إعادة تخزين إذا فتحت الصندوق؟
t099,What is the warranty on phones and chargers?,ما هو الضمان على الجوالات والشواحن؟
t100,How much is shipping for electronics under SAR 300?,كم رسوم الشحن للإلكترونيات أقل من 300 ريال؟
